rowid,kepid,kepoi_name,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
7271,8265156,K06177.01,0.978362973,4.32E-06,-4.32E-06,132.126,3.89E-03,-3.89E-03,0.267,0.19,-0.267,1.206,0.127,-0.127,1.04,3.30E-01,-2.20E-01,2772,,,13948.03,12934.31,-6596.83,7193,200,-300,4.156,0.128,-0.192,1.671,0.525,-0.35,301.13428,44.100128,12.34
7272,8355178,K06178.01,13.0327301,1.50E-04,-1.50E-04,133.6778,1.01E-02,-1.01E-02,0.67,0.284,-0.457,3.902,0.313,-0.313,1.64,4.60E-01,-2.00E-01,809,,,101.4,84.06,-34.19,6122,168,-232,4.471,0.05,-0.2,0.996,0.28,-0.12,287.53177,44.30801,15.863
7273,4770174,K02971.02,31.9533679,6.67E-04,-6.67E-04,159.6588,1.81E-02,-1.81E-02,0.773,0.058,-0.533,8.424,0.486,-0.486,1.65,2.90E-01,-2.10E-01,725,,,65.15,31.66,-19.85,6313,113,-139,4.228,0.084,-0.126,1.467,0.259,-0.188,297.39371,39.829041,12.742
7274,9838804,K03028.02,458.16754,3.15E-02,-3.15E-02,462.2522,5.04E-02,-5.04E-02,0.1573,0.3167,-0.1569,6.97,2.8,-2.8,2.11,8.30E-01,-1.60E-01,208,,,0.45,0.55,-0.11,5536,195,-162,4.566,0.029,-0.263,0.816,0.324,-0.062,294.96246,46.676289,15.983
7275,9020114,K03088.02,67.8766605,7.97E-04,-7.97E-04,187.3703,1.05E-02,-1.05E-02,0.0011,0.4505,-0.001,2.598,0.229,-0.229,1.92,8.20E-01,-1.70E-01,455,,,10.11,12.69,-2.79,6018,158,-194,4.485,0.044,-0.302,0.975,0.415,-0.089,291.16437,45.318291,14.953
7276,6609270,K03090.02,15.0367776,1.61E-04,-1.61E-04,133.6558,1.02E-02,-1.02E-02,1.115,70.92,-5.333,3.042,0.346,-0.346,8.02,4.50E-01,-5.80E-01,381,,,4.96,1.04,-0.99,3729,75,-67,4.733,0.039,-0.021,0.514,0.029,-0.037,292.73764,42.014832,15.665
7277,7983117,K03214.02,25.0901574,4.82E-04,-4.82E-04,138.4988,1.62E-02,-1.62E-02,0.935,0.043,-0.651,8.273,0.545,-0.545,1.35,2.70E-01,-4.30E-01,852,,,124.33,76.2,-73.41,6033,183,-183,3.985,0.266,-0.114,1.788,0.351,-0.571,298.67377,43.795479,12.014
7278,11125797,K03371.02,12.25384348,8.84E-05,-8.84E-05,143.70549,5.11E-03,-5.11E-03,0.441,0.529,-0.244,2.373,0.198,-0.198,1,1.30E-01,-3.00E-02,678,,,50.05,16.42,-5.98,5413,73,-81,4.579,0.011,-0.105,0.82,0.1,-0.027,285.31381,48.72525,13.747
7279,9966219,K03401.02,326.6708,1.61E-02,-1.61E-02,327.7185,3.85E-02,-3.85E-02,0.6133,0.0169,-0.4804,10.84,1.5,-1.5,2.2,7.50E-01,-3.50E-01,283,,,1.52,1.54,-0.57,5896,162,-169,4.343,0.138,-0.232,1.072,0.368,-0.172,297.47839,46.81575,14.388
7280,11974540,K00129.02,143.2110936,,,221.7556468,,,,,,2.71,,,,,,,,,,,,,,,,,,,,,297.00943,50.372318,13.224
7281,7219825,K00238.03,362.97828,1.60E-02,-1.60E-02,256.5011,2.58E-02,-2.58E-02,0.055,0.409,-0.055,14.083,0.744,-0.744,1.96,3.30E-01,-2.90E-01,296,,,1.81,0.87,-0.6,6086,133,-133,4.274,0.137,-0.112,1.216,0.199,-0.179,296.99863,42.78196,14.061
7282,11519226,K06087.01,22.16127178,4.77E-05,-4.77E-05,148.46378,1.81E-03,-1.81E-03,1.277,6.814,-0.41,3.699,0.0868,-0.0868,69.44,1.48E+01,-2.21E+01,877,,,139.67,89.23,-80.49,5893,162,-133,3.945,0.315,-0.105,1.745,0.371,-0.556,297.07068,49.442451,13.034
7283,1718189,K00993.03,86.723653,1.76E-03,-1.76E-03,195.3511,1.68E-02,-1.68E-02,0.662,0.31,-0.466,4.852,0.506,-0.506,1.43,3.90E-01,-1.20E-01,391,,,5.5,4.24,-1.42,5830,146,-161,4.54,0.044,-0.187,0.876,0.234,-0.078,290.72867,37.252651,14.246
7284,11756821,K06088.01,2.745121487,2.67E-06,-2.67E-06,133.619276,8.29E-04,-8.29E-04,0.861,0.072,-0.025,2.9845,0.0769,-0.0769,9.55,1.00E+00,-5.80E-01,893,,,150.25,60.52,-35.5,4608,163,-163,4.648,0.024,-0.056,0.658,0.069,-0.04,288.22913,49.904129,15.187
7285,11769146,K06089.01,282.9656538,1.29E-04,-1.29E-04,193.502758,3.23E-04,-3.23E-04,0.426,0.007,-0.007,21.4259,0.0222,-0.0222,71.61,2.24E+01,-7.47E+00,280,,,1.45,1.33,-0.44,5999,162,-217,4.494,0.054,-0.216,0.959,0.3,-0.1,294.81921,49.963631,13.974
7286,8263187,K07878.01,36.566324,1.14E-03,-1.14E-03,141.4473,3.13E-02,-3.13E-02,0.018,0.413,-0.018,4.832,0.488,-0.488,15.41,5.92E+00,-1.10E+01,828,,,110.92,136.29,-103.02,5294,204,-186,3.599,0.944,-0.295,2.884,1.108,-2.057,300.63809,44.156269,17.195
7287,11826400,K06091.01,5.889372452,1.92E-07,-1.92E-07,134.779685,2.62E-05,-2.62E-05,0.403,0.021,-0.011,4.94674,0.00088,-0.00088,50.78,1.30E+01,-1.74E+01,1695,,,1951.4,1485.07,-1238.46,7249,201,-302,3.993,0.266,-0.143,2.071,0.531,-0.708,297.51343,50.07481,12.472
7288,12010534,K06092.01,2.581595167,1.06E-06,-1.06E-06,132.947414,3.49E-04,-3.49E-04,0.124,0.074,-0.049,4.9153,0.0237,-0.0237,40.94,1.16E+01,-6.25E+00,1328,,,735.27,609.16,-267.06,5720,152,-169,4.407,0.12,-0.18,0.989,0.28,-0.151,290.02682,50.455391,15.35
7289,2019477,K06093.01,20.5736113,8.82E-04,-8.82E-04,149.1939,3.28E-02,-3.28E-02,0.032,0.414,-0.032,11.222,0.939,-0.939,3.86,3.50E-01,-1.42E+00,1197,,,484.82,131.14,-301.79,5440,87,-76,3.404,0.289,-0.051,4.524,0.416,-1.665,292.55194,37.421211,13.33
7290,7116117,K03163.01,0.566801886,5.47E-06,-5.47E-06,131.8258,1.01E-02,-1.01E-02,0.3733,0.14,-0.3732,5.733,0.63,-0.63,0.54,3.10E-01,-1.00E-01,3862,,,52564.19,94611.36,-22419.93,7589,230,-303,4.023,0.114,-0.34,2.169,1.25,-0.387,291.2699,42.692009,10.238
7291,7868092,K03169.01,180.71809,2.99E-02,-2.99E-02,222.2962,4.61E-02,-4.61E-02,0.8856,0.087,-0.6346,10.85,1.8,-1.8,1.28,8.10E-01,-2.00E-01,546,,,20.98,41.75,-8.31,7608,223,-312,4.08,0.093,-0.367,1.991,1.258,-0.309,280.7475,43.601841,10.505
7292,3337061,K03172.01,6.5583706,4.35E-05,-4.35E-05,133.83031,5.53E-03,-5.53E-03,1.213,28,-1.18,3.286,0.217,-0.217,39.06,6.74E+00,-8.24E+00,1283,,,639.83,290.04,-260.45,6144,86,-74,4.083,0.168,-0.098,1.606,0.277,-0.339,290.03314,38.426861,10.609
7293,9826171,K03173.01,434.39148,1.07E-02,-1.07E-02,131.4436,2.56E-02,-2.56E-02,0.9936,0.2663,-0.0845,13.02,1.3,-1.3,1.59,6.50E-01,-1.50E-01,236,,,0.73,0.88,-0.18,5971,147,-150,4.514,0.048,-0.289,0.868,0.359,-0.078,289.73468,46.64534,10.614
7294,3936658,K03180.01,71.1577054,,,178.29611,,,,,,4.85,,,,,,,,,,,,,,,,,,,,,285.54712,39.06329,10.923
7295,4577484,K03181.01,73.26417,1.26E-02,-1.26E-02,173.8331,4.68E-02,-4.68E-02,0.4719,0.0639,-0.4709,5.54,2.6,-2.6,1.32,7.00E-02,-8.00E-02,584,,,27.47,4.64,-4.57,5424,74,-74,3.832,0.018,-0.02,2.11,0.11,-0.13,295.6828,39.618729,11.026
7296,4735826,K03184.02,11.3220104,5.67E-04,-5.67E-04,142.7143,3.22E-02,-3.22E-02,0.1749,0.2837,-0.1749,5.86,0.84,-0.84,0.91,3.00E-01,-4.20E-01,1215,,,515.77,523.8,-386.82,6003,202,-199,3.825,0.436,-0.198,2.193,0.721,-1.02,288.39529,39.872627,11.158
7297,5005618,K03186.01,681.9363102,2.99E-05,-2.99E-05,289.0653808,2.11E-05,-2.11E-05,0.828,0.0131,-0.0157,7.94066,0.00192,-0.00192,61.52,2.76E+01,-6.07E+00,220,,,0.56,0.72,-0.16,6095,136,-177,4.427,0.059,-0.295,1.035,0.464,-0.102,290.12708,40.15947,11.3
7298,4663658,K03187.01,0.705891195,3.80E-06,-3.80E-06,131.62062,4.16E-03,-4.16E-03,0.511,0.442,-0.511,5.281,0.298,-0.298,1,3.40E-01,-3.40E-01,4884,,,134291.26,135507.26,-85924.08,10346,286,-464,4.077,0.242,-0.198,2.449,0.838,-0.838,294.20782,39.789291,11.321
7299,10467815,K03191.01,377.88909,1.21E-02,-1.21E-02,143.4845,2.30E-02,-2.30E-02,0.1164,0.329,-0.1163,9.259,0.716,-0.716,3.17,1.33E+00,-1.01E+00,606,,,31.87,40.38,-19.58,9030,272,-412,3.822,0.243,-0.199,3.218,1.348,-1.024,290.81604,47.682892,11.471
7300,10847721,K03192.01,199.21638,1.87E-02,-1.87E-02,293.6619,4.04E-02,-4.04E-02,0.5,0.0767,-0.409,9.23,1.8,-1.8,2.36,9.80E-01,-6.60E-01,706,,,58.73,73.33,-33.29,8914,260,-399,3.896,0.217,-0.218,2.867,1.192,-0.799,285.13657,48.257301,11.472
7301,10118942,K03195.01,121.70747,1.18E-02,-1.18E-02,229.2617,6.96E-02,-6.96E-02,0.9778,0.0224,-0.6789,1.37,2.4,-2.4,3.02,1.10E-01,-1.10E-01,580,,,26.67,3.28,-2.78,6362,61,-61,3.858,0.016,-0.015,2.27,0.09,-0.08,281.12289,47.16489,11.496
7302,9471539,K03198.01,273.528359,4.61E-03,-4.61E-03,246.3207,1.16E-02,-1.16E-02,1.363,0.311,-0.3229,22.346,0.639,-0.639,115.4,3.29E+01,-3.40E+01,557,,,22.75,19.52,-13.13,7682,229,-305,3.838,0.235,-0.176,2.783,0.794,-0.821,294.41833,46.038712,11.575
7303,5482603,K03199.01,3.88258905,3.81E-05,-3.81E-05,134.82111,6.81E-03,-6.81E-03,0.553,0.004,-0.478,2.741,0.232,-0.232,0.78,0.00E+00,0.00E+00,1158,,,426.41,0,0,5780,,,4.438,,,1,,,299.87357,40.607719,11.706
7304,2305819,K03201.01,135.57186,1.32E-02,-1.32E-02,245.3504,5.17E-02,-5.17E-02,0.2687,0.2103,-0.2687,9.94,1.6,-1.6,0.83,3.30E-01,-2.70E-01,439,,,8.77,10.26,-5.15,6070,167,-149,4.117,0.347,-0.258,1.277,0.505,-0.414,292.08047,37.67461,11.766
7305,9518710,K03207.01,0.954388314,3.97E-06,-3.97E-06,132.44537,3.26E-03,-3.26E-03,0.737,0.217,-0.687,6.26,1.9,-1.9,2.27,3.80E-01,-7.10E-01,3406,,,31694.26,15870.19,-18758.8,7056,169,-253,3.813,0.259,-0.111,2.785,0.469,-0.871,288.23862,46.118061,11.872
7306,10284575,K03210.01,173.06929,1.32E-02,-1.32E-02,221.2582,2.16E-02,-2.16E-02,1.1262,0.4818,-0.1481,12.84,2,-2,30.29,1.78E+01,-6.16E+00,518,,,17.08,31.46,-7.97,7296,221,-310,4.103,0.124,-0.338,1.818,1.069,-0.37,295.83194,47.39381,11.943
7307,3342952,K03215.01,1.039046871,8.41E-06,-8.41E-06,131.54272,6.93E-03,-6.93E-03,0.096,0.368,-0.096,1.689,0.207,-0.207,0.48,1.00E-01,-7.00E-02,1774,,,2348.45,1421.05,-768.84,5689,152,-152,4.422,0.104,-0.138,0.976,0.197,-0.131,291.65018,38.40937,12.023
7308,5307990,K03228.01,0.98762513,3.85E-06,-3.85E-06,131.97212,2.94E-03,-2.94E-03,0.547,0.415,-0.353,1.127,0.101,-0.101,1.14,4.20E-01,-2.80E-01,3728,,,45704.5,51313.06,-24322.84,9456,301,-451,4.172,0.136,-0.204,2.022,0.745,-0.497,299.436,40.477852,12.234
7309,2142501,K03233.01,113.0707574,,,171.705,,,,,,9.03,,,,,,,,,,,,,,,,,,,,,286.61902,37.504044,12.267
7310,2713018,K03235.01,66.713573,1.93E-03,-1.93E-03,170.075,1.60E-02,-1.60E-02,0.4916,0.0689,-0.4211,4.487,0.644,-0.644,0.98,4.20E-01,-1.20E-01,555,,,22.47,27.75,-7.14,6745,138,-219,4.361,0.068,-0.275,1.182,0.515,-0.139,291.4325,37.93618,12.301
7311,8413968,K03251.01,135.223193,7.92E-03,-7.92E-03,246.3872,2.36E-02,-2.36E-02,0.0177,0.4196,-0.0174,8.989,0.996,-0.996,0.92,4.90E-01,-1.60E-01,417,,,7.18,11.39,-2.8,6181,148,-178,4.279,0.146,-0.286,1.227,0.655,-0.211,284.01102,44.49432,12.452
7312,9008103,K03283.01,195.7093855,,,177.4118,,,,,,10.78,,,,,,,,,,,,,,,,,,,,,286.08908,45.369011,15.322
7313,4376629,K03378.01,27.6775212,2.11E-04,-2.11E-04,146.1243,4.07E-03,-4.07E-03,1.238,69.88,-2.239,2.513,0.293,-0.293,23.04,2.98E+00,-9.50E-01,558,,,22.91,7.91,-2.95,5797,78,-78,4.563,0.02,-0.111,0.828,0.107,-0.034,294.50916,39.461109,13.678
7314,3958301,K03381.01,35.2340413,7.77E-04,-7.77E-04,164.0831,1.48E-02,-1.48E-02,0.2713,0.19,-0.2712,11.874,0.568,-0.568,2.21,8.70E-01,-2.10E-01,602,,,31.14,35.76,-9.04,6295,170,-223,4.456,0.049,-0.273,1.014,0.395,-0.096,292.55002,39.023811,15.598
7315,8211605,K03405.01,20.9794338,2.07E-04,-2.07E-04,147.72605,8.98E-03,-8.98E-03,1.284,70.31,-3.764,3.762,0.227,-0.227,24.76,2.60E+00,-2.12E+00,520,,,17.28,7.3,-4.57,5182,201,-164,4.601,0.072,-0.048,0.666,0.07,-0.057,281.60605,44.184761,15.486
7316,11098573,K03406.01,15.6937855,3.59E-04,-3.59E-04,131.9841,1.86E-02,-1.86E-02,0.2227,0.244,-0.2226,5.149,0.339,-0.339,1.99,7.50E-01,-2.60E-01,755,,,76.79,88.12,-26.18,5868,179,-199,4.397,0.094,-0.259,1.037,0.394,-0.135,297.97269,48.672981,15.281
7317,7289338,K03420.01,5.77451117,5.81E-05,-5.81E-05,134.51434,8.18E-03,-8.18E-03,0.348,0.114,-0.348,3.752,0.262,-0.262,1.87,3.10E-01,-3.70E-01,1232,,,544.74,230.38,-211.98,5821,78,-78,4.127,0.182,-0.098,1.492,0.241,-0.294,294.01529,42.824371,15.589
7318,9837586,K03442.01,20.73376301,3.64E-05,-3.64E-05,132.84493,1.79E-03,-1.79E-03,0.993,0.342,-0.231,5.8043,0.0813,-0.0813,54.58,0.00E+00,0.00E+00,663,,,45.6,0,0,5780,,,4.438,,,1,,,294.49814,46.691032,17.474
7319,6021655,K03488.01,63.571688,8.58E-03,-8.58E-03,186.4598,3.27E-02,-3.27E-02,0.7182,0.2484,-0.4791,6.01,1.8,-1.8,2.14,7.60E-01,-1.70E-01,399,,,6.02,6.5,-1.38,5504,172,-138,4.572,0.026,-0.244,0.819,0.292,-0.062,283.42587,41.325531,15.635
7320,8308682,K03507.01,338.20075,5.29E-02,-5.29E-02,263.5018,8.31E-02,-8.31E-02,0.2434,0.2208,-0.2433,15.23,2.9,-2.9,2.08,7.00E-01,-1.40E-01,223,,,0.59,0.59,-0.14,5381,171,-143,4.575,0.024,-0.221,0.811,0.27,-0.057,294.99933,44.213531,15.65
7321,11442793,K00351.07,124.922516,2.82E-03,-2.82E-03,129.7295,2.16E-02,-2.16E-02,0.943,0.028,-0.645,11.942,0.451,-0.451,3.37,5.50E-01,-4.50E-01,407,,,6.45,2.92,-2.01,5970,107,-131,4.317,0.11,-0.121,1.2,0.195,-0.16,284.4335,49.305161,13.804
7322,3344427,K03764.01,1.303570451,3.24E-07,-3.24E-07,146.145985,2.77E-04,-2.77E-04,0.548,0.027,-0.023,2.28163,0.00616,-0.00616,235.58,1.31E+02,-7.04E+01,2720,,,12920.56,22282.74,-7126.36,4884,148,-111,3.279,0.32,-0.32,3.584,1.989,-1.071,292.00238,38.4352,15.832
7323,6205481,K03774.01,3.72277264,2.29E-05,-2.29E-05,136.51757,5.62E-03,-5.62E-03,1.2672,0.3721,-0.0945,15.869,0.331,-0.331,22.78,4.34E+00,-1.66E+00,945,,,188.82,122.78,-47.06,5333,207,-178,4.633,0.033,-0.107,0.688,0.131,-0.05,291.98618,41.55703,15.673
7324,4474637,K03829.01,3.886730304,9.63E-06,-9.63E-06,135.0201,2.73E-03,-2.73E-03,0,0.032,0,16.1723,0.0736,-0.0736,61.58,0.00E+00,0.00E+00,1158,,,424.65,0,0,5780,,,4.438,,,1,,,294.34079,39.563118,16.81
7325,6462874,K01231.02,10.42360821,8.58E-05,-8.58E-05,138.01504,7.62E-03,-7.62E-03,0.001,0.455,-0.001,5.404,0.199,-0.199,1.67,1.30E-01,-1.70E-01,515,,,16.64,4.78,-4.94,4260,115,-140,4.663,0.06,-0.024,0.58,0.044,-0.06,297.33563,41.89048,15.719
7326,8218379,K01920.02,10.1384691,1.92E-04,-1.92E-04,137.7149,1.29E-02,-1.29E-02,0.207,0.263,-0.207,4.026,0.417,-0.417,0.74,1.60E-01,-5.00E-02,723,,,64.55,42.03,-15.16,5483,166,-149,4.589,0.034,-0.136,0.779,0.164,-0.059,285.12204,44.1106,14.64
7327,11450414,K01992.03,85.517344,1.85E-03,-1.85E-03,181.351,1.98E-02,-1.98E-02,0.944,0.026,-0.679,9.331,0.38,-0.38,3.04,4.50E-01,-7.10E-01,482,,,12.75,4.89,-5.7,5592,75,-75,4.115,0.195,-0.09,1.451,0.211,-0.342,289.19958,49.305721,14.513
7328,5217733,K03155.01,161.2529031,3.29E-04,-3.29E-04,189.10446,1.49E-03,-1.49E-03,0.227,0.025,-0.043,24.3711,0.0719,-0.0719,59.07,2.74E+01,-1.18E+01,652,,,42.81,59.83,-20.3,9341,263,-451,4.222,0.105,-0.245,1.87,0.869,-0.373,298.93646,40.39175,7.391
7329,4150611,K03156.04,94.212787,1.55E-03,-1.55E-03,196.3636,1.71E-02,-1.71E-02,0.001,64,-0.862,14.48,2.7,-2.7,35.89,8.87E+00,-1.44E+01,597,,,30.09,22.19,-20.75,6911,194,-242,4.038,0.406,-0.145,1.501,0.371,-0.603,289.74249,39.267059,7.899
7330,3646449,K04999.01,65.752109,1.93E-03,-1.93E-03,183.3112,2.49E-02,-2.49E-02,0.109,0.347,-0.109,6.854,0.614,-0.614,2,2.90E-01,-1.40E-01,458,,,10.36,4.07,-1.86,5816,78,-78,4.432,0.051,-0.119,1.03,0.154,-0.071,291.65906,38.712158,15.478
7331,4917357,K05102.01,147.863607,2.31E-03,-2.31E-03,259.53,1.24E-02,-1.24E-02,0.2482,0.2101,-0.2481,1.948,0.35,-0.35,2.03,6.40E-01,-1.30E-01,305,,,2.05,1.92,-0.44,5485,154,-149,4.556,0.021,-0.242,0.867,0.275,-0.056,289.86099,40.055641,15.109
7332,9343862,K06201.01,1.123258617,2.31E-06,-2.31E-06,132.02671,2.87E-03,-2.87E-03,0.513,0.016,-0.022,4.27355,0.00742,-0.00742,150.94,3.26E+01,-4.36E+01,3215,,,25226.88,15842.48,-14606.42,7945,193,-358,4.023,0.204,-0.136,2.17,0.469,-0.626,292.43274,45.853409,15.01
7333,11673686,K06243.01,4.618767943,1.10E-06,-1.10E-06,133.386655,1.97E-04,-1.97E-04,0.004,0.117,-0.004,6.03,0.0105,-0.0105,32.36,8.00E+00,-1.48E+01,1565,,,1418.08,1037.91,-1049.8,6195,169,-187,3.937,0.472,-0.157,1.781,0.44,-0.816,297.31537,49.706081,11.685
7334,4464394,K06115.01,168.6693478,,,132.5942053,,,,,,4.07,,,,,,,,,,,,,,,,,,,,,291.59775,39.53606,13.497
7335,5531953,K01681.04,21.9139549,2.12E-04,-2.12E-04,148.52144,7.22E-03,-7.22E-03,1.2,70.91,-5.452,3.271,0.426,-0.426,10.39,1.14E+00,-1.38E+00,303,,,2.01,0.66,-0.64,3638,72,-87,4.844,0.049,-0.055,0.42,0.046,-0.056,291.285,40.730049,15.855
7336,7620413,K02103.02,3.66520844,4.53E-05,-4.53E-05,131.50911,8.33E-03,-8.33E-03,0.045,0.404,-0.045,3.308,0.46,-0.46,0.82,1.20E-01,-9.00E-02,1168,,,439.57,171.23,-110.32,5579,75,-75,4.389,0.105,-0.105,1.029,0.152,-0.114,295.50269,43.232792,14.736
7337,8838950,K02421.02,4.02321842,4.15E-05,-4.15E-05,135.41629,7.55E-03,-7.55E-03,0.396,0.051,-0.396,2.162,0.254,-0.254,0.48,2.00E-02,-3.00E-02,747,,,73.5,18.14,-17.19,4671,139,-153,4.721,0.048,-0.028,0.528,0.028,-0.034,298.41931,45.071442,14.363
7338,6964929,K02756.02,5.06993245,7.75E-05,-7.75E-05,135.836,1.11E-02,-1.11E-02,0.3584,0.0963,-0.3584,3.241,0.37,-0.37,0.92,3.30E-01,-9.00E-02,1053,,,291.11,310.53,-78.75,5957,154,-187,4.506,0.039,-0.039,0.937,0.343,-0.084,296.23282,42.47279,14.758
7339,2306740,K06265.01,10.30698279,8.65E-07,-8.65E-07,143.7331641,6.95E-05,-6.95E-05,0.564,0.003,-0.004,11.4277,0.00381,-0.00381,81.21,2.18E+01,-2.18E+01,960,,,200.8,158.38,-104.35,5912,160,-160,4.225,0.258,-0.172,1.217,0.326,-0.326,292.26981,37.6982,13.545
7340,3556742,K06344.01,0.823014905,6.67E-07,-6.67E-07,132.160787,6.70E-04,-6.70E-04,1.247,0.359,-0.117,3.5426,0.0418,-0.0418,22.17,1.65E+00,-6.80E-01,1482,,,1136.75,261.27,-134.32,4975,79,-79,4.614,0.012,-0.051,0.724,0.054,-0.022,294.47253,38.67551,14.221
7341,3656700,K06350.01,0.738527259,2.58E-07,-2.58E-07,132.024142,3.20E-04,-3.20E-04,1.171,1.157,-0.087,1.2174,0.0182,-0.0182,49.08,7.98E+00,-1.48E+01,2978,,,18549.81,7898.45,-9983.55,5869,79,-79,3.825,0.231,-0.099,2.313,0.376,-0.698,294.25818,38.706928,12.997
7342,3764411,K06357.01,4.4158933,5.74E-05,-5.74E-05,132.9738,1.02E-02,-1.02E-02,0.1672,0.3993,-0.1672,1.155,0.41,-0.41,1.42,3.90E-01,-1.30E-01,1138,,,395.82,323.08,-109.73,5977,154,-206,4.473,0.041,-0.041,1.022,0.287,-0.09,295.68594,38.889359,15.417
7343,3851193,K06367.01,1.341078755,8.30E-08,-8.30E-08,131.8392432,5.20E-05,-5.20E-05,0.309,0.005,-0.008,3.86492,0.00475,-0.00475,41.8,1.37E+01,-5.83E+00,1968,,,3533.56,3333.25,-1243.05,6368,160,-208,4.323,0.105,-0.195,1.225,0.4,-0.171,291.70963,38.92136,13.682
7344,3972391,K06374.01,0.634131057,5.80E-06,-5.80E-06,131.78951,8.15E-03,-8.15E-03,0.0891,0.3761,-0.0891,2.851,0.241,-0.241,0.58,2.30E-01,-8.00E-02,2488,,,9062.53,10254.02,-3119.3,6428,163,-201,4.345,0.109,-0.109,1.109,0.431,-0.152,295.88843,39.027901,12.939
7345,4069063,K06381.01,0.504296702,1.36E-07,-1.36E-07,131.905285,1.87E-04,-1.87E-04,1.2942,0.1195,-0.2473,1.4145,0.0377,-0.0377,50.41,1.67E+01,-1.05E+01,2694,,,12445.73,12088.67,-5492.41,6140,166,-178,4.243,0.204,-0.204,1.187,0.393,-0.246,294.55844,39.13765,13.318
7346,6307062,K03153.01,75.3789569,8.74E-06,-8.74E-06,167.1066034,9.16E-05,-9.16E-05,0.273,0.004,-0.004,7.70352,0.00559,-0.00559,58.76,1.04E+01,-4.80E+00,365,,,4.17,2.33,-1.02,5420,162,-146,4.596,0.03,-0.12,0.771,0.136,-0.063,297.62912,41.64151,14.863
7347,4150611,K03156.01,0.761119678,3.67E-06,-3.67E-06,131.68986,3.99E-03,-3.99E-03,1.129,20.8,-0.179,1.43,0.259,-0.259,27.81,6.87E+00,-1.12E+01,2977,,,18660.94,13763.8,-12869.27,6911,194,-242,4.038,0.406,-0.145,1.501,0.371,-0.603,289.74249,39.267059,7.899
7348,10338624,K03222.01,0.607538435,3.99E-06,-3.99E-06,131.70989,4.24E-03,-4.24E-03,0.9849,0,-0.6835,5.549,0.308,-0.308,1.34,9.10E-01,-2.50E-01,3219,,,25377.69,53505.2,-10965.57,7076,188,-259,4.147,0.115,-0.377,1.691,1.138,-0.318,291.49722,47.463509,12.156
7349,6364215,K02404.02,5.2438528,1.39E-04,-1.39E-04,132.6659,2.71E-02,-2.71E-02,0.583,0.384,-0.378,10.539,0.566,-0.566,1.11,3.30E-01,-1.30E-01,1016,,,251.99,227.17,-83.48,5815,175,-210,4.5,0.052,-0.195,0.918,0.275,-0.11,291.87799,41.769581,15.656
7350,5706592,K06618.01,8.6040858,1.76E-04,-1.76E-04,138.163,1.54E-02,-1.54E-02,0.4146,0.0848,-0.4145,3.01,1.1,-1.1,0.94,3.00E-01,-9.00E-02,947,,,189.96,175.18,-52.48,6250,164,-196,4.472,0.048,-0.048,0.986,0.312,-0.092,292.17029,40.907162,15.173
7351,5716244,K06619.01,1.330333096,2.82E-07,-2.82E-07,132.785555,1.76E-04,-1.76E-04,0.692,0.004,-0.002,5.045,0.015,-0.015,24.3,6.62E+00,-2.36E+00,1634,,,1691.25,1366.66,-495.34,5984,167,-209,4.521,0.048,-0.192,0.906,0.247,-0.088,294.96027,40.98698,15.423
7352,5731312,K06621.01,7.946367138,4.78E-07,-4.78E-07,135.0947711,4.39E-05,-4.39E-05,0.636,0.019,-0.017,2.58667,0.0024,-0.0024,36.01,2.58E+00,-2.58E+00,629,,,36.92,10.77,-8.73,4789,143,-143,4.678,0.052,-0.032,0.573,0.041,-0.041,298.25183,40.90353,13.811
7353,5736461,K06623.01,7.346159047,5.66E-07,-5.66E-07,136.8912771,6.36E-05,-6.36E-05,0.945,0.03,-0.028,6.5974,0.00336,-0.00336,44.48,1.14E+01,-3.79E+00,835,,,114.57,88.79,-29.72,5616,169,-169,4.574,0.042,-0.168,0.81,0.207,-0.069,299.2717,40.972389,15.63
7354,5771589,K06625.01,10.73842724,6.78E-06,-6.78E-06,139.893962,4.81E-04,-4.81E-04,0.036,0.263,-0.036,2.3544,0.0168,-0.0168,6.96,1.39E+00,-2.07E+00,1137,,,394.4,238.47,-221.07,6180,173,-173,4.007,0.292,-0.117,1.686,0.335,-0.503,284.58551,41.009579,11.809
7355,8364232,K07882.01,65.415183,1.27E-03,-1.27E-03,140.2325,1.64E-02,-1.64E-02,0.377,0.082,-0.377,4.224,0.561,-0.561,1.31,8.00E-02,-1.20E-01,295,,,1.79,0.49,-0.47,4348,130,-130,4.62,0.049,-0.021,0.646,0.041,-0.056,291.31281,44.38192,15.559
7356,6670742,K06753.01,72.28198,1.19E-03,-1.19E-03,156.753,1.63E-02,-1.63E-02,0.2405,0.2332,-0.2405,2.478,0.748,-0.748,13.11,1.98E+00,-4.57E+00,984,,,221.28,106.93,-141.89,7694,221,-315,3.631,0.274,-0.274,3.627,0.547,-1.265,284.33261,42.12709,9.277
