rowid,kepid,kepoi_name,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
5064,8635938,K03498.01,43.798566,3.47E-04,-3.47E-04,172.58505,7.47E-03,-7.47E-03,1.182,72.64,-1.59,6.401,0.31,-0.31,48.52,8.08E+00,-1.75E+01,721,,,63.8,35.13,-40.43,5611,186,-152,3.842,0.344,-0.108,2.227,0.371,-0.803,295.82376,44.79591,12.963
5065,10464666,K03578.01,131.7363049,1.52E-05,-1.52E-05,194.5833896,9.17E-05,-9.17E-05,0.871,0.015,-0.013,5.28476,0.00877,-0.00877,54.38,3.32E+01,-2.72E+01,413,,,6.89,13.48,-5.34,5102,169,-138,3.962,0.591,-0.318,1.669,1.019,-0.834,289.53009,47.626221,13.395
5066,5024292,K03579.01,4.301031137,1.15E-06,-1.15E-06,134.44907,2.00E-04,-2.00E-04,0.79,0.01,-0.011,5.65214,0.00482,-0.00482,93.01,3.19E+01,-1.71E+01,1454,,,1056.61,1067.4,-454.35,6386,177,-243,4.208,0.115,-0.214,1.548,0.53,-0.285,295.30023,40.18335,14.573
5067,4659255,K03580.01,198.0137918,3.75E-05,-3.75E-05,234.151682,1.34E-04,-1.34E-04,0.88,0.094,-0.046,9.72673,0.00974,-0.00974,38.49,4.24E+00,-4.24E+00,260,,,1.09,0.42,-0.34,5359,159,-175,4.566,0.09,-0.06,0.708,0.078,-0.078,293.04837,39.725349,15.546
5068,5877292,K07744.01,11.7201693,2.29E-04,-2.29E-04,136.1871,1.77E-02,-1.77E-02,0.292,0.175,-0.292,2.399,0.307,-0.307,1.34,4.60E-01,-1.50E-01,870,,,135.43,140.92,-45.89,6193,194,-259,4.434,0.056,-0.224,1.067,0.366,-0.122,292.13049,41.165749,15.171
5069,10657406,K01837.02,1.682934607,4.91E-06,-4.91E-06,131.96807,2.38E-03,-2.38E-03,0.681,0.28,-0.479,1.8846,0.0783,-0.0783,1.06,9.00E-02,-4.00E-02,1270,,,615.67,172.9,-86.81,5201,93,-114,4.573,0.01,-0.09,0.834,0.077,-0.026,288.3725,47.933559,13.733
5070,3428468,K03582.01,114.9086242,2.01E-05,-2.01E-05,199.450746,1.40E-04,-1.40E-04,0.78,0.025,-0.026,7.66397,0.00819,-0.00819,42.78,1.22E+00,-3.42E+00,259,,,1.06,0.2,-0.26,4412,132,-132,4.565,0.06,-0.016,0.737,0.021,-0.059,286.72336,38.595661,15.927
5071,7091432,K03353.01,11.55532445,7.61E-05,-7.61E-05,134.12977,5.44E-03,-5.44E-03,0.96,0.033,-0.7,3.499,0.121,-0.121,1.7,2.10E-01,-1.80E-01,674,,,48.88,20.15,-14.53,5149,153,-153,4.506,0.093,-0.085,0.803,0.097,-0.088,281.29855,42.685749,14.598
5072,9845909,K03354.01,11.5706005,1.18E-04,-1.18E-04,136.28577,8.51E-03,-8.51E-03,0.416,0.027,-0.416,3.073,0.237,-0.237,1.33,3.50E-01,-1.60E-01,771,,,83.39,68.3,-26.51,5718,172,-189,4.479,0.078,-0.182,0.9,0.244,-0.105,297.37747,46.661652,15.089
5073,9221528,K03355.01,16.2953228,2.74E-04,-2.74E-04,144.7982,1.38E-02,-1.38E-02,0.587,0.36,-0.365,4.882,0.355,-0.355,1.6,5.10E-01,-2.20E-01,773,,,84.23,82.59,-30.87,6187,197,-241,4.432,0.072,-0.203,1.013,0.326,-0.14,293.13409,45.626869,15.11
5074,6368230,K03356.01,26.0841212,5.06E-04,-5.06E-04,149.4437,1.56E-02,-1.56E-02,0.092,0.373,-0.092,6.141,0.352,-0.352,1.35,4.10E-01,-1.00E-01,598,,,30.24,27.59,-7.61,6083,181,-199,4.563,0.036,-0.204,0.835,0.254,-0.063,293.1651,41.746231,15.44
5075,7115291,K03357.01,52.80276758,7.12E-06,-7.12E-06,167.270294,1.05E-04,-1.05E-04,1.473,0.166,-0.129,5.6184,0.0104,-0.0104,75.82,2.21E+01,-8.83E+00,472,,,11.73,10.03,-3.62,5835,157,-174,4.492,0.065,-0.195,0.901,0.263,-0.105,291.00095,42.622231,15.193
5076,9907505,K03427.01,39.20680865,3.15E-06,-3.15E-06,142.4611109,6.60E-05,-6.60E-05,0.81,0.015,-0.014,6.24701,0.00363,-0.00363,50.2,1.60E+01,-4.03E+00,516,,,16.82,16.08,-4.23,5945,179,-179,4.545,0.039,-0.208,0.861,0.274,-0.069,297.81793,46.76421,15.545
5077,9027909,K03428.01,64.6589166,8.98E-04,-8.98E-04,170.17972,9.83E-03,-9.83E-03,0.083,0.376,-0.083,7.71,0.291,-0.291,2.12,3.50E-01,-4.20E-01,535,,,19.39,8.13,-7.7,5821,69,-87,4.172,0.162,-0.108,1.395,0.228,-0.279,293.97394,45.3507,14.694
5078,9230021,K03429.01,15.8283833,4.56E-04,-4.56E-04,144.3927,2.57E-02,-2.57E-02,0.623,0,-0.498,3.643,0.527,-0.527,1.8,2.80E-01,-2.80E-01,758,,,78.2,32.54,-25.35,5596,83,-75,4.298,0.143,-0.104,1.145,0.178,-0.178,296.19614,45.634331,15.364
5079,6369845,K07777.01,27.6760342,5.34E-04,-5.34E-04,144.9833,1.69E-02,-1.69E-02,0.071,0.395,-0.071,4.234,0.385,-0.385,5.15,2.17E+00,-1.77E+00,951,,,193.23,236.62,-117.93,5123,128,-128,3.442,0.325,-0.266,3.224,1.353,-1.107,293.64758,41.730679,13.33
5080,9230021,K03429.02,8.74192361,8.71E-05,-8.71E-05,135.42727,8.70E-03,-8.70E-03,0.025,0.416,-0.025,4.235,0.184,-0.184,1.94,3.00E-01,-3.00E-01,924,,,172.38,71.72,-55.89,5596,83,-75,4.298,0.143,-0.104,1.145,0.178,-0.178,296.19614,45.634331,15.364
5081,9230021,K03429.03,26.936878,1.11E-03,-1.11E-03,157.7573,3.35E-02,-3.35E-02,0.2807,0.1762,-0.2806,4.969,0.57,-0.57,1.57,6.40E-01,-1.70E-01,617,,,34.24,42.37,-10.62,5878,181,-202,4.442,0.066,-0.281,0.998,0.407,-0.109,296.19614,45.634331,15.364
5082,3662838,K00302.02,53.34418038,,,170.0739545,,,,,,3.62,,,,,,,,,,,,,,,,,,,,,295.6088,38.735741,12.059
5083,5471688,K03499.01,12.4281308,3.79E-04,-3.79E-04,141.4385,4.82E-02,-4.82E-02,0.33,0.124,-0.33,6.79,1,-1,0.85,1.70E-01,-6.00E-02,715,,,61.78,40.49,-14.92,5940,196,-196,4.621,0.036,-0.144,0.729,0.15,-0.05,297.72504,40.64431,15.056
5084,8552719,K01792.03,9.10969334,2.70E-05,-2.70E-05,133.06566,2.49E-03,-2.49E-03,0.761,0.01,-0.542,5.3181,0.0677,-0.0677,1.32,2.10E-01,-1.30E-01,873,,,137.45,61.47,-34.46,5611,100,-112,4.388,0.08,-0.12,1.073,0.173,-0.106,288.97165,44.624531,12.16
5085,5471688,K03499.02,0.96283264,7.47E-06,-7.47E-06,132.20087,7.35E-03,-7.35E-03,0.4963,0.4444,-0.2744,2.947,0.175,-0.175,0.74,2.80E-01,-4.00E-02,1686,,,1908.55,2218.42,-415.85,5955,206,-183,4.617,0.026,-0.238,0.733,0.274,-0.043,297.72504,40.64431,15.056
5086,6058816,K03500.01,73.7502765,5.23E-04,-5.23E-04,188.52221,5.53E-03,-5.53E-03,0.127,0.317,-0.127,13.309,0.167,-0.167,3.78,5.30E-01,-1.31E+00,677,,,49.76,18.22,-29.61,6056,81,-81,3.797,0.285,-0.095,2.481,0.343,-0.859,296.35461,41.33556,13.214
5087,6058816,K03500.02,4.7482669,6.01E-05,-6.01E-05,135.8003,1.08E-02,-1.08E-02,0.673,0.292,-0.449,4.947,0.299,-0.299,1.57,2.10E-01,-5.50E-01,1690,,,1927.62,706.15,-1146.93,6056,81,-81,3.797,0.285,-0.095,2.481,0.343,-0.859,296.35461,41.33556,13.214
5088,5130740,K03583.01,210.3064436,3.56E-05,-3.56E-05,285.127394,1.17E-04,-1.17E-04,1.155,0.125,-0.076,6.68665,0.00818,-0.00818,101.13,2.63E+01,-2.63E+01,525,,,17.94,13.87,-9.78,7591,211,-343,4.05,0.187,-0.153,2.017,0.525,-0.525,299.21945,40.212311,12.504
5089,9892471,K03584.01,8.268081087,6.34E-07,-6.34E-07,135.0563298,6.40E-05,-6.40E-05,1.099,0.474,-0.042,3.47103,0.00784,-0.00784,50.31,1.49E+01,-4.97E+00,863,,,130.83,113.8,-37.92,5749,156,-190,4.502,0.05,-0.2,0.922,0.273,-0.091,292.53125,46.728699,15.768
5090,2019076,K03585.01,3.564614021,4.51E-07,-4.51E-07,131.86235,1.09E-04,-1.09E-04,0.989,0.034,-0.005,3.44204,0.00504,-0.00504,46,1.19E+01,-6.39E+00,1187,,,470.37,368.88,-165.61,5891,177,-195,4.45,0.112,-0.168,0.892,0.231,-0.124,292.46249,37.442619,15.671
5091,7376490,K03586.01,5.877122413,1.78E-06,-1.78E-06,136.420718,2.51E-04,-2.51E-04,1.238,0.082,-0.062,3.7369,0.0126,-0.0126,45.95,1.36E+01,-1.02E+01,1061,,,300.43,260.76,-137.11,5778,155,-155,4.325,0.214,-0.195,1.043,0.309,-0.231,295.68607,42.970619,13.147
5092,11968513,K03587.01,1.036592635,1.90E-07,-1.90E-07,132.089146,1.64E-04,-1.64E-04,0.898,0.127,-0.093,2.40749,0.00794,-0.00794,463.05,7.96E+01,-1.19E+02,4194,,,73013.77,32116.38,-35125.08,4884,58,-72,2.737,0.162,-0.108,8.747,1.504,-2.256,294.3616,50.30526,14.441
5093,4263529,K03358.01,10.10404351,1.04E-05,-1.04E-05,132.892841,8.67E-04,-8.67E-04,0.951,0.023,-0.676,1.0022,0.0559,-0.0559,4.05,9.10E-01,-3.90E-01,752,,,75.32,50.39,-20.17,5530,149,-149,4.541,0.05,-0.15,0.831,0.187,-0.08,291.88907,39.361771,14.031
5094,7866921,K03360.01,91.4999978,5.54E-05,-5.54E-05,182.769045,4.99E-04,-4.99E-04,0.736,0.002,-0.003,19.5818,0.0297,-0.0297,21.86,3.17E+00,-1.95E+00,335,,,2.98,1.42,-0.76,5263,158,-142,4.572,0.045,-0.091,0.774,0.112,-0.069,279.85608,43.6679,14.801
5095,6619815,K03361.01,65.9407869,8.70E-04,-8.70E-04,231.97155,8.52E-03,-8.52E-03,0.332,0.159,-0.332,7.776,0.276,-0.276,2.33,6.40E-01,-2.80E-01,454,,,10.04,8.25,-3.28,5982,168,-210,4.493,0.05,-0.2,0.96,0.266,-0.114,295.57608,42.023361,15.502
5096,3098197,K03362.01,30.47639859,5.97E-05,-5.97E-05,156.24007,1.61E-03,-1.61E-03,0.92,0.071,-0.042,17.9728,0.0879,-0.0879,43.01,9.95E+00,-3.33E+00,542,,,20.39,13.98,-4.83,5913,159,-159,4.585,0.04,-0.16,0.787,0.182,-0.061,286.00461,38.28471,14.84
5097,11651712,K03363.01,14.53260546,4.38E-05,-4.38E-05,140.4685,2.38E-03,-2.38E-03,0.112,0.335,-0.112,2.4212,0.071,-0.071,1.69,5.10E-01,-1.70E-01,746,,,73.37,64.34,-20.69,6003,161,-179,4.507,0.052,-0.208,0.932,0.279,-0.093,285.71191,49.706661,13.785
5098,9896558,K01718.02,153.348739,4.91E-03,-4.91E-03,190.5347,1.59E-02,-1.59E-02,0.261,0.196,-0.261,12.205,0.621,-0.621,2.14,6.40E-01,-3.40E-01,377,,,4.78,4.32,-1.84,6127,192,-213,4.356,0.128,-0.192,1.08,0.32,-0.172,294.16882,46.714611,15.224
5099,7697103,K03430.01,13.9248005,1.80E-04,-1.80E-04,142.04732,9.80E-03,-9.80E-03,0.021,0.426,-0.021,5.016,0.281,-0.281,0.9,1.10E-01,-6.00E-02,588,,,28.27,11.93,-6.36,5271,141,-157,4.669,0.028,-0.083,0.648,0.085,-0.042,296.38269,43.386589,15.712
5100,9267996,K03431.01,19.6001405,2.38E-04,-2.38E-04,138.5631,1.17E-02,-1.17E-02,0.971,0.027,-0.685,8.613,0.318,-0.318,2.08,5.90E-01,-2.00E-01,676,,,49.23,41.04,-13.46,6003,161,-179,4.507,0.048,-0.192,0.932,0.265,-0.088,285.22256,45.70874,13.874
